年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
令和4年,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築物の構造耐力上主要な部分に木材、コンクリート等の指定建築材料を用いる場合には、その品質が、指定建築材料ごとに国土交通大臣の指定する日本産業規格若しくは日本農林規格に適合するもの、又は指定建築材料ごとに国土交通大臣が定める安全上、防火上若しくは衛生上必要な品質に関する技術的基準に適合するものであることについて国土交通大臣の認定を受けたものとしなければならない。,直上階の居室の床面積の合計が300m?である児童福祉施設の地上階に設ける階段に代わる傾斜路で、両側に側壁を設けるものにおいて、側壁の一方に幅15cmの手すりを設けた場合、側壁間の距離は125cm以上としなければならない。,居室の内装の仕上げに第三種ホルムアルデヒド発散建築材料を使用するときは、原則として、当該材料を使用する内装の仕上げの部分の面積に所定の数値を乗じて得た面積については、当該居室の床面積を超えないようにしなければならない。,"老人福祉施設における防火上主要な間仕切壁で、小屋裏又は天井裏に達する準耐火構造としたものは、125 Hz、500 Hz、2,000Hzの振動数の音に対して、それぞれ透過損失25dB、40dB、50dB以上の遮音性能としなければならない。",4
令和4年,法規,6,,次の記述のうち、建築基準法上、誤っているものはどれか。ただし、自動式のスプリンクラー設備等は設けられていないものとする。,非耐力壁である防火構造の外壁に必要とされる防火性能は、建築物の周囲において発生する通常の火災による火熱が加えられた場合に、加熱開始後30分間屋内面の温度が可燃物燃焼温度以上に上昇しないものでなければならない。,共同住宅(天井は強化天井でないもの)の各戸の界壁は、準耐火構造とし、小屋裏又は天井裏に達せしめなければならない。,地上15階建ての事務所の12階部分で、執務室の壁及び天井の室内に面する部分の仕上げを難燃材料でし、かつ、その下地を難燃材料で造ったものは、床面積の合計200m?以内ごとに防火区画しなければならない。,"1階及び2階を集会場(当該用途に供する部分の各階の客席部分の床面積の合計が1,000m?)とし、3階以上の階を事務所とする地上10階建ての建築物においては、原則として、当該集会場部分と事務所部分とを防火区画しなければならない。",3
令和4年,法規,7,,次の建築物のうち、建築基準法に適合しないものはどれか。ただし、いずれの建築物も各階を当該用途に供するものとし、避難階は1階とする。,主要構造部を耐火構造とした地上5階建てのホテルで、各階に宿泊室(1室当たりの床面積25m?)が8室あるもの(2階以上の階には宿泊室以外の居室はないものとする。)に直通階段を1か所設けた。,"主要構造部を耐火構造とした延べ面積 1,200m?、地上2階建ての物品販売業を営む店舗で、2階における売場の床面積の合計が450m?のものに直通階段を1か所設けた。",主要構造部を耐火構造とした地上5階建ての共同住宅(住戸の居室以外の居室はないものとする。)で、各階に住戸(各住戸の居室の床面積の合計50m?)が4戸あるものに直通階段を1か所設けた。,主要構造部を耐火構造とした地上6階建ての事務所で、各階の居室の床面積の合計が200m?で、かつ、各階に避難上有効なバルコニーを設けたものに、避難階段の構造に適合する屋外の直通階段を1か所設けた。,2
令和4年,法規,8,,仮設建築物等に関する次の記述のうち、建築基準法上、誤っているものはどれか。,"非常災害があった場合において、準防火地域である非常災害区域等に地方公共団体が災害救助のために建築する、延べ面積1,000m?、地上3階建ての応急仮設建築物の病院で、災害が発生した日から1月以内にその工事に着手するものについては、建築基準法令の規定は適用されない。",災害があった場合において、準防火地域内に国が建築する、延べ面積500m?、地上2階建ての応急仮設建築物である官公署については、市街地における火災を想定した火の粉による建築物の火災の発生を防止するために屋根に必要とされる性能に関する規定は適用されない。,防火地域内に建築する仮設店舗で、安全上、防火上及び衛生上支障がないものとして特定行政庁の許可を受けたものについては、外壁の開口部で延焼のおそれのある部分への防火戸等の防火設備の設置に関する規定は適用されない。,建築物の用途を変更して一時的に興行場として使用する場合において、安全上、防火上及び衛生上支障がないものとして特定行政庁の許可を受けたものについては、内装の制限に関する規定は適用されない。,2
令和4年,法規,9,,避難施設等に関する次の記述のうち、建築基準法上、誤っているものはどれか。,延べ面積2.000m?、地上2階建てのボーリング場の2階の居室から地上に通ずる屋内の廊下及び階段の部分には、非常用の照明装置を設けなければならない。,延べ面積2.000m?の病院において、床面積100m?以内ごとに防火区画した部分については、排煙設備を設けなくてもよい。,地下街の各構えが接する地下道の幅員は、5m以上でなければならない。,建築物の高さ31m以下の部分にある3階以上の各階において、道に面する外壁面に直径1m以上の円が内接できる窓で、格子その他の屋外からの進入を妨げる構造を有しないものを、当該壁面の長さ10m以内ごとに設けている場合には、非常用の進入口を設けなくてもよい。,1
令和4年,法規,10,,建築設備に関する次の記述のうち、建築基準法上、誤っているものはどれか。,高さ31mを超える部分の階数が4以下の主要構造部を耐火構造とした建築物で、当該部分が床面積の合計 100m?以内ごとに耐火構造の床若しくは壁又は所定の特定防火設備で区画されているものには、非常用エレベーターを設置しなくてもよい。,"各構えの床面積の合計が1,500m?の地下街における排煙設備の制御及び作動状態の監視は、中央管理室において行うことができるものとしなければならない。",床面積の合計が50m?の住戸において、発熱量の合計(密閉式燃焼器具等又は煙突を設けた設備若しくは器具に係るものを除く。)が8kWの火を使用する器具を設けた床面積7m?の調理室には、0.7m?の有効開口面積を有する窓その他の開口部を換気上有効に設けた場合、所定の技術的基準に従った換気設備は設けなくてもよい。,"鉄骨造、延べ面積1,500m?、地上3階建ての物品販売業を営む店舗の売場においては、全館避難安全検証法により、全館避難安全性能を有することが確かめられた場合であっても、非常用の照明装置を設けなければならない。",3
令和4年,法規,11,,建築物の構造計算に関する次の記述のうち、建築基準法上、誤っているものはどれか。,鉄筋コンクリート造、高さ31m、地上10階建ての建築物について、保有水平耐力計算によって安全性を確かめた場合には、許容応力度等計算又はこれと同等以上に安全性を確かめることができるものとして国土交通大臣が定める基準に従った構造計算を行わなくてもよい。,鉄骨鉄筋コンクリート造、高さ45mの建築物の地上部分について、保有水平耐力計算によって安全性を確かめた場合には、各階の偏心率が、それぞれ15/100を超えないことを確かめる必要はない。,建築物の地上部分に作用する地震力について、許容応力度等計算を行う場合における標準せん断力係数は0.2以上又は0.3以上とし、必要保有水平耐力を計算する場合における標準せん断力係数は1.0以上としなければならない。,限界耐力計算を行う場合、構造耐力上主要な部分の断面に生ずる長期(常時及び積雪時)及び短期(積雪時、暴風時及び地震時)の各応力度が、それぞれ長期に生ずる力又は短期に生ずる力に対する各許容応力度を超えないことを確かめなければならない。,4
令和4年,法規,12,,構造強度に関する次の記述のうち、建築基準法上、誤っているものはどれか。,設計基準強度が21N/mm?のコンクリートの場合、短期に生ずる力に対する引張りの許容応力度は、長期に生ずる力に対する圧縮の許容応力度の1/3の値である。,"建築物の実況によらないで、柱の垂直荷重による圧縮力を計算する場合、百貨店の屋上広場で、柱のささえる床の数が4のときは、床の積載荷重として採用する数値を2,040 N/m?とすることができる。",高さ3mの鉄筋コンクリート造の塀に使用するコンクリート(軽量骨材は使用しないものとする。)の四週圧縮強度は、12 N/mm?以上とする必要はない。,異形鉄筋をせん断補強以外に用いる場合の引張りに対する材料強度は、異形鉄筋の圧縮に対する材料強度と同じ値である。,1
令和4年,法規,13,,保有水平耐力計算によって安全性が確かめられた建築物に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、高さが4mを超える建築物とする。,鉄骨造の建築物において、建築物の基礎は、国土交通大臣が定める基準に従った構造計算によって構造耐力上安全であることを確かめた場合には、異なる構造方法による基礎を併用してもよい。,鉄筋コンクリート造の建築物において、土砂災害特別警戒区域内における居室を有する建築物の外壁等の構造は、原則として、自然現象の種類、最大の力の大きさ等及び土石等の高さ等に応じて、当該自然現象により想定される衝撃が作用した場合においても破壊を生じさせないものとして、国土交通大臣が定めた構造方法を用いるものとしなければならない。,鉄筋コンクリート造の建築物において、構造耐力上主要な部分である柱の主筋は帯筋と緊結する必要はない。,鉄骨造の建築物において、特定天井の構造は、構造耐力上安全なものとして、国土交通大臣が定めた構造方法を用いるもの又は国土交通大臣の認定を受けたものとする必要はない。,4
令和4年,法規,14,,都市計画区域及び準都市計画区域内の道路等に関する次の記述のうち、建築基準法上、誤っているものはどれか。,その敷地が、河川管理者が管理する幅員6mの公共の用に供する道で建築基準法上の道路に該当しないもののみに2m以上接する、延べ面積100m?の一戸建て住宅は、特定行政庁の認定を受けることにより建築することができる。,特定行政庁の許可を受けて道路の上空に渡り廊下を設ける場合においては、その側面には、床面からの高さが1.5m以上の壁を設け、その壁の床面からの高さが1.5m以下の部分に開口部を設けるときは、これにはめごろし戸を設けなければならない。,道路内にある建築物については、高架の道路の路面下に設けるものを除き、道路高さ制限は適用されない。,特定行政庁から位置の指定を受けた幅員6mの私道を廃止する場合は、特定行政庁の許可が必要である。,4
令和4年,法規,15,,建築物の用途の制限に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、用途地域以外の地域、地区等の指定はなく、また、特定行政庁の許可等は考慮しないものとする。,第一種低層住居専用地域において、「延べ面積500m?、平家建ての児童厚生施設」は、新築することができる。,"第二種住居地域内において、「延べ面積6,000m?、地上3階建てのカラオケボックス(各階を当該用途に供するもの)」は、新築することができる。",近隣商業地域内において、「延べ面積500m? (作業場の床面積の合計が400m?)、平家建ての、原動機を使用する自動車修理工場」は、新築することができる。,"商業地域内において、「延べ面積2,000m?、平家建ての圧縮天然ガスの製造工場(内燃機関の燃料として自動車に充填するための圧縮天然ガスに係るもの)」は、新築することができる。",3
令和4年,法規,16,,防火地域及び準防火地域内の建築物の新築に関する次の記述のうち、建築基準法上、誤っているものはどれか。,防火地域内においては、延べ面積120m?、平家建ての診療所の用途に供する建築物は、耐火建築物又はこれと同等以上の延焼防止時間となる建築物としなければならない。,防火地域内にある建築物に附属する門又は塀で、高さ2mを超えるものは、延焼防止上支障のない構造としなければならない。,準防火地域内においては、延べ面積180m?、地上3階建ての一戸建て住宅の用途に供する建築物は、耐火建築物若しくは準耐火建築物又はこれらと同等以上の延焼防止時間となる建築物としなければならない。,"準防火地域内においては、延べ面積1,200m?、地上2階建ての倉庫の用途に供する建築物は、耐火建築物又はこれと同等以上の延焼防止時間となる建築物としなければならない。",4
令和4年,法規,17,図あり,図のような敷地において、建築基準法上、新築することができる建築物の容積率(同法第52条に規定する容積率)の最高限度は、次のうちどれか。ただし、図に記載されているものを除き、地域、地区等及び特定行政庁の指定、許可等は考慮しないものとする。,10月30日,Oct-40,Oct-45,Oct-53,3
令和4年,法規,18,図あり,図のような敷地において、建築物を新築する場合、建築基準法上、A点における地盤面からの建築物の高さの最高限度は、次のうちどれか。ただし、敷地は平坦で、隣地との高低差はなく、門、塀等はないものとする。また、図に記載されているものを除き、地域、地区等及び特定行政庁による指定、許可等並びに日影による中高層の建築物の高さの制限及び天空率に関する規定は考慮しないものとする。なお、建築物は全ての部分において、高さの最高限度まで建築されるものとする。,21.25 m,23.25 m,24.25 m,26.25 m,3
令和4年,法規,19,,次の記述のうち、建築基準法上、誤っているものはどれか。,都市計画区域内においては、ごみ焼却場は、都市計画においてその敷地の位置が決定していない場合であっても、特定行政庁が都市計画審議会の議を経てその敷地の位置が都市計画上支障がないと認めて許可した場合は、新築することができる。,地区計画の区域のうち再開発等促進区内において、当該地区計画において定められた土地利用に関する基本方針に適合した建築物については、用途地域内の建築物の制限に適合しない場合であっても、特定行政庁の許可を受けることなく新築することができる。,建築基準法の規定による許可には、建築物又は建築物の敷地を交通上、安全上、防火上又は衛生上支障がないものとするための条件等を付することができる。,建築基準法令の規定による指定確認検査機関の処分に不服がある者は、当該処分に係る建築物について建築確認をする権限を有する建築主事が置かれた市町村又は都道府県の建築審査会に対して審査請求をすることができる。,2
令和4年,法規,20,,病院に関する次の記述のうち、建築基準法上、誤っているものはどれか。,"地上3階建て、床面積の合計が1,500m?の病院(国等の建築物を除く。)の所有者等は、当該建築物の敷地、構造及び建築設備について、定期に、一級建築士若しくは二級建築士又は建築物調査員にその状況の調査をさせて、その結果を特定行政庁に報告しなければならない。",商業地域内の病院の病室(天窓及び縁側を有しないもの)の開口部の採光補正係数は、開口部が道に面していない場合であって、水平距離が4m以上であり、かつ、採光関係比率に10を乗じた数値から1.0を減じて得た算定値が1.0未満となる場合においては、1.0とする。,"既存の地上5階建ての病院(5階における当該用途に供する部分の床面積の合計が1,600m?のもの)に設けた非常用の照明装置に用いる照明カバーの取替えの工事の施工中に、当該建築物を使用する場合においては、当該建築主は、あらかじめ、工事の施工中における建築物の安全上、防火上又は避難上の措置に関する計画を作成して特定行政庁に届け出なければならない。",敷地が準工業地域内に400m?、工業地域内に600m?と二つの用途地域にわたる場合、当該敷地には、特定行政庁の許可を受けなければ病院を新築することができない。,3
令和4年,法規,21,,工事監理を行う建築士に関する次の記述のうち、建築士法上、誤っているものはどれか。,建築士が工事監理を行う場合は、その者の責任において、工事を設計図書と照合し、それが設計図書のとおりに実施されているかいないかを確認するとともに、当該工事の指導監督を行わなければならない。,建築士が工事監理を行う場合は、当該建築士が自ら設計図書を作成した建築物であるか、他の建築士が設計図書を作成した建築物であるかに関わらず、工事監理を終了したときは、直ちに、建築主に結果報告を行わなければならない。,一級建築士でなければ設計をしてはならない建築物の工事監理については、一級建築士の指導を受けている場合であっても、二級建築士は行うことができない。,構造設計一級建築士の関与が義務付けられた建築物の工事監理については、構造設計一級建築士以外の一級建築士であっても行うことができる。,1
令和4年,法規,22,,建築士事務所の管理建築士に関する次の記述のうち、建築士法上、誤っているものはどれか。,管理建築士は、建築士事務所において、業務の内容に応じて必要となる期間の設定や、受託しようとする業務を担当させる建築士の選定などの技術的事項を総括する。,建築士事務所の開設者が、管理建築士の退職後に代わりの管理建築士を置かなかった場合、その建築士事務所の登録は取り消され、その開設者は1年以下の懲役又は100万円以下の罰金に処される。,管理建築士が建築基準法の違反によって免許取消しや業務停止等の処分を受けた場合、その処分が自宅の設計など建築士事務所の業務によらないものであっても、当該建築士事務所は閉鎖処分の対象となる。,一級建築士事務所に置かれる管理建築士となるための業務要件としては、一級建築士として3年以上の建築物の設計や工事監理等に従事することが求められる。,4
令和4年,法規,23,,A欄に掲げる「建築士等に義務付けられる行為等」とB欄に掲げる「義務付けの対象等」の組合せのうち、B欄において、建築士法による義務付けの対象等とされていないものを含むものは、次のうちどれか。,建築士免許証(免許証明書を含む。)の提示／設計等の委託者から請求があったとき・建築主に対して、契約内容などの重要事項の説明をするとき,定期講習の受講／・全ての一級建築士・全ての二級建築士・全ての木造建築士・全ての構造設計一級建築士・全ての設備設計一級建築士,設計図書その他の書面への記名／・一級建築士、二級建築士又は木造建築士が、設計を行ったとき・構造設計一級建築士が、構造関係規定の法適合確認を行ったとき・設備設計一級建築士が、設備関係規定の法適合確認を行ったとき,建築士事務所に閲覧のために備え置く書類／建築士事務所の業務の実績を記載した書類・建築士事務所に属する建築士の氏名及び業務の実績を記載した書類・損害賠償に必要な金額を担保するための措置の内容を記載した書類・建築士事務所の業務及び財務に関する書類,2
令和4年,法規,24,,次の記述のうち、都市計画法上、誤っているものはどれか。,都市計画施設の区域内において、木造、地上3階建ての建築物を改築する場合は、都道府県知事等の許可を受ける必要はない。,建築物の建築の用に供する目的で行う土地の区画形質の変更は、その土地の規模にかかわらず「開発行為」である。,開発許可を受けた開発区域内の土地においては、当該開発行為に関する工事が完了した場合であっても、都道府県知事による当該工事が完了した旨の公告があるまでの間は、原則として、建築物を建築してはならない。,"市街化区域内において、専修学校の建築の用に供する目的で行う開発行為で、その規模が1,000m?のものについては、開発許可を受けなければならない。",1
令和4年,法規,25,,次の記述のうち、消防法上、誤っているものはどれか。,図書館は、消防用設備等の技術上の基準に関する政令等の規定の施行又は適用の際、現に存する建築物であっても、新築の場合と同様に消防用設備等の規定が適用される「特定防火対象物」である。,天井の高さ12m、延べ面積700m?のラック式倉庫については、原則として、スプリンクラー設備を設置しなければならない。,"地階に設ける駐車場で、床面積が1,000m?のものについては、原則として、排煙設備を設置しなければならない。","延べ面積6,000m?、地上5階建てのホテルについては、原則として、連結送水管を設置しなければならない。",1
令和4年,法規,26,,次の記述のうち、「高齢者、障害者等の移動等の円滑化の促進に関する法律」上、誤っているものはどれか。,"建築主等は、仮設建築物(建築基準法第85条第5項の許可を受けたもの)として、床面積の合計が2,000m?の物品販売業を営む店舗を新築する場合、当該建築物を建築物移動等円滑化基準に適合させなければならない。",建築主等は、床面積の合計が500m?の事務所を新築する場合、当該建築物を建築物移動等円滑化基準に適合させなければならない。,"床面積の合計が5,000m?の公立小学校を新築する場合、当該小学校に設ける階段のうち、多数の者が利用するものは、踏面の端部とその周囲の部分との色の明度、色相又は彩度の差が大きいことにより段を容易に識別できるものとしなければならない。",移動等円滑化経路を構成する敷地内の通路は、幅を120cm以上とし、50m以内ごとに車椅子の転回に支障がない場所を設けなければならない。,2
令和4年,法規,27,,次の記述のうち、「建築物のエネルギー消費性能の向上に関する法律」上、誤っているものはどれか。,建築主は、非住宅部分の床面積の合計が300m?の建築物を新築しようとするときは、その工事に着手する日の21日前までに、当該行為に係る建築物のエネルギー消費性能の確保のための構造及び設備に関する計画を所管行政庁に届け出なければならない。,特定建築主は、新築する分譲型一戸建て規格住宅を当該住宅のエネルギー消費性能の一層の向上のために必要な住宅の構造及び設備に関する基準に適合させるよう努めなければならない。,建築士は、床面積の合計が100m?の住宅の新築に係る設計を行うときは、原則として、当該住宅の建築物エネルギー消費性能基準への適合性について評価を行うとともに、当該設計の委託をした建築主に対し、当該評価の結果について、書面を交付して説明しなければならない。,建築主等は、エネルギー消費性能の向上のために建築物の修繕をしようとするときは、建築物エネルギー消費性能向上計画を作成し、所管行政庁の認定を申請することができる。,1
令和4年,法規,28,図あり,建築主から以下の条件Aに基づく「地上3階建て共同住宅」の設計を求められた際に、各居室に以下の条件Bに該当する窓を設置しようとした場合、建築基準法その他の建築関係法令の規定の適用に関する設計者の判断として、イ?ハの記述について、正しいもののみの組合せは、次のうちどれか。,イとロとハ,イとロ,イとハ,ロとハ,2
令和4年,法規,29,,以下の条件に該当する建築物の設計に際して、建築基準法その他の建築関係法令の規定の適用に関する設計者の判断として、次の記述のうち、不必要な内容を含むものはどれか。,構造耐力上の安全性を確認するため、構造計算の実施に当たっては「保有水平耐力計算」によることとし、「保有水平耐力が必要保有水平耐力以上であること」、「構造耐力上主要な部分の断面に生ずる各応力度が、各許容応力度を超えないこと」、「層間変形角が、基準値以内であること」、「屋根ふき材等が、風圧に対して構造耐力上安全であること」を確かめて設計した。,避難上の安全性を確保するため、避難経路となる屋内の直通階段を、「特別避難階段に適合する階段として、2か所に設置すること」、「階段室に排煙機による排煙設備を設置すること」、「非常用の照明装置を設置すること」として設計した。,建築物の備えるべきエネルギー消費性能を確保するため、空気調和設備、照明設備等に関して、実際の設計仕様の条件を基に算定した「設計一次エネルギー消費量」が、床面積、設備等の条件によって定まる 「基準一次エネルギー消費量」を超えないものとして設計した。,建築主の要請により、高齢者や障害者など誰もが利用しやすい建築物とするため、廊下の幅などについて移動がしやすいように配慮したところ、床面積の増加によって容積率の基準を超えたことから、容積率の特例の対象となる「認定特定建築物」の認定を受けることとして、「建築物移動等円滑化誘導基準」に適合するものとして設計した。,2
令和4年,法規,30,,次の記述のうち、関係法令上、誤っているものはどれか。,「住宅の品質確保の促進等に関する法律」に基づき、住宅新築請負契約又は新築住宅の売買契約においては、住宅の構造耐力上主要な部分等について、引き渡した時から10年間の瑕疵担保責任を義務付けており、これに反する特約で注文者又は買主に不利なものは無効とされる。,"「建設業法」に基づき、建設業者は、発注者から請負代金の額が3,500万円の診療所の建築一式工事を請け負った場合、当該工事を施工するときは、当該工事現場に置く主任技術者を専任の者としなくてよい。",「長期優良住宅の普及の促進に関する法律」に基づき、住宅の建築をしてその構造及び設備を長期使用構造等とし、自らその建築後の住宅の維持保全を行おうとする者は、長期優良住宅建築等計画を作成し、所管行政庁の認定を申請することができる。,「都市の低炭素化の促進に関する法律」に基づき、低炭素建築物新築等計画の認定の申請をしようとする場合には、あらかじめ、建築基準法に基づく確認済証の交付を受けなければならない。,4
令和4年,構造,1,図あり,図-1のような等質な材料からなる部材の断面が、図-2に示す垂直応力度分布となって全塑性状態に達している。このとき、断面の図心に作用する圧縮軸力Nと曲げモーメントMとの組合せとして、正しいものは、次のうちどれか。ただし、降伏応力度はσyとする。,"N=8a^2σy, M=42a^3σy","N=8a^2σy, M=52a^3σy","N=12a^2σy, M=42a^3σy","N=12a^2σy, M=52a^3σy",2
令和4年,構造,2,図あり,図のように、材料とスパンが同じで、断面が異なる単純梁A、B及びCの中央に集中荷重Pが作用したとき、それぞれの梁の曲げによる中央たわみ、δA、δB及びδCとの大小関係として、正しいものは、次のうちどれか。ただし、それぞれの梁は全長にわたって等質等断面の弾性部材とし、自重は無視する。また、梁を構成する部材の接触面の摩擦及び接着はないものとする。,δA<δB=δC,δA=δB<δC,δB=δC<δA,δC<δA=δB,4
令和4年,構造,3,図あり,図のような鉛直方向に等分布荷重wと水平方向に集中荷重Pが作用する骨組において、固定端A点に曲げモーメントが生じない場合の荷重wlと荷重Pの比として、正しいものは、次のうちどれか。ただし、全ての部材は弾性部材とし、自重は無視する。,wl:P=1:1,wl:P=1:2,wl:P=2:1,wl:P=3:1,3
令和4年,構造,4,図あり,図-1のような水平荷重Pを受ける山形ラーメンにおいて、Pを増大させたとき、その山形ラーメンは、図-2のような梁端部に塑性ヒンジを生じる崩壊機構を示した。山形ラーメンの崩壊荷重がPuであるとき、最も不適当なものは、次のうちどれか。ただし、梁の全塑性モーメントはMpとする。,水平荷重Puは 2Mp/l である。,柱ABの軸力は Mp/l の引張力である。,C点の曲げモーメントは0である。,E点の鉛直反力Vは Mp/l である。,3
令和4年,構造,5,図あり,図のような荷重が作用するトラスにおいて、部材A、B及びCに生じる軸方向力をそれぞれNA、NB及びNCとするとき、それらの大小関係として、正しいものは、次のうちどれか。ただし、全ての部材は弾性部材とし、自重は無視する。また、軸方向力は、引張力を「+」、圧縮力を「-」とする。,NA < NB < NC,NB < NA < NC,NC < NA < NB,NC < NB < NA,1
令和4年,構造,6,図あり,図-1のような構造物に鉛直荷重Pが作用したときのせん断力図として、正しいものは、次のうちどれか。ただし、全ての部材は弾性部材とし、自重は無視する。また、せん断力の符号は図-2に示した向きを「+」とする。,図の選択肢1,図の選択肢2,図の選択肢3,図の選択肢4,4
令和4年,構造,7,図あり,図のようなラーメン架構A、B及びCの水平方向の固有周期をそれぞれTA、TB及びTCとしたとき、それらの大小関係として、正しいものは、次のうちどれか。ただし、柱の曲げ剛性は図中に示すEIあるいは2EIとし、梁は剛体とする。また、柱の質量は考慮しないものとする。,TA < TB = TC,TB < TA < TC,TB = TC < TA,TC < TA < TB,1
令和4年,構造,8,,建築基準法における建築物に作用する積雪荷重に関する次の記述のうち、最も不適当なものはどれか。,屋根面における積雪量が不均等となるおそれのある場合においては、その影響を考慮して積雪荷重を計算しなければならない。,垂直積雪量が1mを超える場合、雪下ろしの実況に応じて垂直積雪量を1mまで減らして積雪荷重を計算した建築物については、その出入口、主要な居室又はその他の見やすい場所に、その軽減の実況その他必要な事項を表示しなければならない。,多雪区域以外の区域における大スパン等の一定の条件を満たす緩勾配屋根を有する建築物では、屋根版の構造種別によっては、構造計算において用いる積雪荷重に積雪後の降雨を考慮した割増係数を乗じることが求められる場合がある。,多雪区域を指定する基準において、積雪の初終問日数の平年値が30日以上の区域であっても、垂直積雪量が1m未満の場合は、多雪区域とはならない。,4
令和4年,構造,9,,木造軸組工法による地上2階建ての建築物に関する次の記述のうち、最も不適当なものはどれか。,地震時等におけるねじれによる被害を防ぐために、壁率比が0.5以上となるように壁や筋かいを配置した。,建築物の出隅にある通し柱と胴差との仕口部分を、かど金物を用いて接合した。,隅柱を通し柱としなかったので、1階と2階の管柱相互を通し柱と同等以上の耐力を有するように、金物により補強した。,筋かいが間柱と交差する部分は、間柱を欠き取り、筋かいは欠込みをせずに通すようにした。,2
令和4年,構造,10,,木造軸組工法による地上2階建ての建築物の壁量の計算に関する次の記述のうち、最も不適当なものはどれか。,壁量充足率は、各側端部分のそれぞれについて、存在壁量を必要壁量で除して求める。,筋かいを入れた壁倍率1.5の軸組の片面に、壁倍率3.7の仕様で構造用合板を釘打ち張りした耐力壁は、壁倍率5.2として存在壁量を算定する。,平面が長方形の建築物において、張り間方向と桁行方向ともに必要壁量が地震力により決定される場合、張り間方向と桁行方向の同一階の必要壁量は同じ値である。,風圧力に対する必要壁量を求める場合、見付面積に乗ずる数値は、1階部分と2階部分で同じ値を用いる。,2
令和4年,構造,11,図あり,図に示す鉄筋コンクリート構造の配筋に関する次の記述のうち、最も不適当なものはどれか。ただし、図に記載のない鉄筋は適切に配筋されているものとする。,断面内に打継ぎ部を設ける必要がある基礎梁において、必要な定着長さを確保したうえで、基礎梁の側面にあばら筋のフック付き重ね継手を設けた。,片側にスラブが取り付いた梁のあばら筋において、必要な余長を確保したうえで、あばら筋の末端の一端を90度フックとした。,スパンが短い大梁の主筋の配筋において、梁断面の四隅以外の主筋を部材の全長にわたって対角線上に配置した。,柱梁接合部において、せん断補強筋比が0.3%相当となるように帯筋を配筋した。,2
令和4年,構造,12,,鉄筋コンクリート構造に関する次の記述のうち、最も不適当なものはどれか。,曲げ降伏する梁部材の靱性を高めるために、梁せい及び引張側の鉄筋量を変えることなく、梁幅を大きくした。,梁部材のクリープによるたわみを減らすために、引張側の鉄筋量を変えることなく、圧縮側の鉄筋量を減らした。,耐力壁は、一般に、付着割裂破壊が発生しにくいことから、付着割裂破壊の検討を省略した。,下階の柱抜けによりフィーレンディール架構が形成されるので、剛床仮定を設けず、上下弦材となる梁では軸方向力を考慮した断面算定を行った。,2
令和4年,構造,13,,鉄筋コンクリート構造の許容応力度計算に関する次の記述のうち、最も不適当なものはどれか。,建築物の外壁から突出する部分の長さが2m以下の片持ちのバルコニーについては、鉛直方向の振動の励起が生じにくいものとして、鉛直震度による突出部分に作用する応力の割増しを行わなかった。,梁の引張鉄筋比が釣合い鉄筋比以下であったので、短期許容曲げモーメントを大きくするために、引張鉄筋をSD345から同一径のSD390に変更した。,梁の上端筋のコンクリートに対する許容付着応力度は、下端筋よりも大きい値を用いた。,耐力壁の短期許容せん断力を、「壁板の許容せん断力」と「側柱の許容せん断力」の和とした。,3
令和4年,構造,14,,鉄筋コンクリート構造の保有水平耐力計算に関する次の記述のうち、最も不適当なものはどれか。,引張側にスラブが取り付く大梁の曲げ終局モーメントは、一般に、スラブの有効幅内のスラブ筋量が多いほど大きくなる。,大梁のせん断終局耐力は、一般に、有効せいに対するせん断スパンの比が小さいほど大きくなる。,柱のせん断終局耐力は、一般に、軸方向圧縮応力度が小さいほど大きくなる。,柱梁接合部のせん断終局耐力は、一般に、取り付く大梁の幅が大きいほど大きくなる。,3
令和4年,構造,15,,鉄骨構造の設計に関する次の記述のうち、最も不適当なものはどれか。,鉄骨梁のせいがスパンの1/15以下であったので、固定荷重及び積載荷重によるたわみの最大値を有効長さで除した値が所定の数値以下であることを確認することにより、建築物の使用上の支障が起こらないことを確かめた。,埋込み型柱脚において、鉄骨の曲げモーメントとせん断力は、コンクリートに埋め込まれた部分の上部と下部の支圧により、基礎に伝達する設計とした。,冷間成形角形鋼管柱を用いた建築物の「ルート1-1」の計算において、標準せん断力係数Coを0.3以上とするとともに、柱の設計用応力を割増して検討した。,地震時に梁端部が塑性化するH形鋼梁について、一次設計時に許容曲げ応力度を圧縮フランジの支点間距離を用いて算定したことにより、十分な塑性変形能力が確保されているものと判断した。,4
令和4年,構造,16,,鉄骨構造の設計に関する次の記述のうち、最も不適当なものはどれか。,柱の限界細長比は、基準強度Fが大きいほど小さくなる。,振動障害の検討に用いる、床の鉛直方向の固有振動数は、梁の水平軸まわりの断面二次モーメントを小さくするほど高くなる。,圧縮材の許容圧縮応力度は、鋼材及び部材の座屈長さが同じ場合、座屈軸まわりの断面二次半径が小さいほど小さくなる。,弱軸まわりに曲げを受けるH形鋼の許容曲げ応力度は、幅厚比の制限に従う場合、許容引張応力度と同じ値とすることができる。,2
