年度,科目,No.,図,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答
R01,法規,5,,次の記述のうち、建築基準法上、誤っているものはどれか。,劇場における昇降機機械室用階段の蹴上げの寸法は、23cmとすることができる。,集会場における客用の階段及びその踊場に、高さ85cmの手すりが設けられた場合における階段及びその踊場の幅は、手すりの幅が10cmを限度として、ないものとみなして算定する。,石綿が添加された建築材料が使用されていることにより建築基準法第3条第2項の規定の適用を受けている倉庫について、基準時における延べ面積が1200m?のものを増築して延べ面積1500m?とする場合、増築に係る部分以外の部分においては、石綿が添加された建築材料を被覆すること等の措置が必要となる。,近隣商業地域内の住宅(縁側を有しないもの)の開口部である天窓の採光補正係数は、開口部が道に面しない場合であって、水平距離が4m以上であり、かつ、採光関係比率に10を乗じた数値から1.0を減じて得た算定値が1.0未満となる場合においては、1.0とする。,4
R01,法規,6,,防火区画に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、自動式のスプリンクラー設備等は設けられていないものとする。,地上15階建ての事務所の15階部分で、当該階の床面積の合計が300m?のものは、原則として、床面積の合計100m?以内ごとに防火区画しなければならない。,1階を自動車車庫(当該用途に供する部分の床面積の合計が130m?)とし、2階及び3階を事務所とする地上3階建ての建築物においては、当該自動車車庫部分と事務所部分とを防火区画しなければならない。,避難階が地上1階であり、地上3階に居室を有する事務所の用途に供する建築物で、主要構造部を準耐火構造としたものにおいては、原則として、地上2階から地上3階に通ずる吹抜きとなっている部分とその他の部分とを防火区画しなければならない。,防火区画に用いる防火シャッター等の特定防火設備は、常時閉鎖若しくは作動をした状態にあるか、又は随時閉鎖若しくは作動をできるものでなければならない。,2
R01,法規,7,,主要構造部を耐火構造とした耐火建築物に関する次の記述のうち、建築基準法に適合しないものはどれか。ただし、自動式のスプリンクラー設備等は設けられていないものとし、居室については、内装の「制限を受ける窓その他の開口部を有しない居室」には該当しないものとする。,物品販売業を営む店舗の用途に供する建築物の用途を変更し、新たに火を使用する調理室を設けた飲食店とする場合に、その調理室の壁及び天井の室内に面する部分の仕上げを、準不燃材料とした。,延べ面積200m?、地上3階建ての一戸建ての住宅において、1階に設ける火を使用する調理室の壁及び天井の室内に面する部分の仕上げを、不燃材料、準不燃材料及び難燃材料以外の材料とした。,延べ面積10000m?、高さ60m、地上15階建ての事務所において、非常用エレベーターの乗降ロビーの天井及び壁の室内に面する部分の仕上げを準不燃材料でし、かつ、その下地を準不燃材料で造った。,地階に設ける集会場の客席及びこれから地上に通ずる主たる廊下、階段その他の通路の壁及び天井の室内に面する部分の仕上げを、準不燃材料とした。,3
R01,法規,8,,避難施設等に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、いずれの建築物も各階を当該用途に供するものとし、避難階は地上1階とする。,主要構造部を耐火構造とした地上3階建て、延べ面積3000m?の飲食店(主たる用途に供する居室及びこれから地上に通ずる主たる廊下、階段その他の通路の壁及び天井の室内に面する部分の仕上げを準不燃材料としたもの)の避難階においては、階段から屋外への出口の一に至る歩行距離は、40mとすることができる。,地上5階建ての物品販売業を営む店舗(各階の床面積700m?)の避難階においては、屋外への出口の幅の合計を4mとすることができる。,主要構造部を耐火構造とした地上5階建ての共同住宅で、各階の居室の床面積の合計が180m?であるものは、避難階以外の階から避難階又は地上に通ずる2以上の直通階段を設けなくてもよい。,地上5階建ての共同住宅において、2階以上の階にあるバルコニーの周囲には、安全上必要な高さが1.1m以上の手すり壁、さく又は金網を設けなければならない。,2
R01,法規,9,,防火・避難に関する次の記述のうち、建築基準法上、誤っているものはどれか。,建築物の外部の仕上げに用いる準不燃材料は、通常の火災による火熱が加えられた場合に、加熱開始後10分間、燃焼せず、防火上有害な変形、溶融、き裂その他の損傷を生じないものであって、避難上有害な煙又はガスを発生しないものでなければならない。,主要構造部を耐火構造とした延べ面積5000m?、地上8階建ての共同住宅の敷地内には、屋外に設ける避難階段から道又は公園、広場その他の空地に通ずる幅員が1.5m以上の通路を設けなければならない。,延べ面積3000m?、地上5階建てのホテルの客室において、100m?以内ごとに耐火構造とした床、壁及び所定の防火設備で区画されている場合には、排煙設備を設けなくてもよい。,防火地域内における建築物の屋上に設ける高さ2mの看板は、その主要な部分を不燃材料で造り、又はおおわなければならない。,1
R01,法規,10,,建築設備等に関する次の記述のうち、建築基準法に適合しないものはどれか。,建築物に設けるエレベーターに、駆動装置又は制御器に故障が生じ、かご及び昇降路の全ての出入口の戸が閉じる前にかごが昇降した場合に自動的にかごを制止する装置を設けた。,管の外径が所定の数値以上である給水管、配電管その他の管が、準耐火構造の防火区画を貫通する際に、これらの管の当該貫通する部分及び貫通する部分からそれぞれ両側に1m以内の距離にある部分を不燃材料で造った。,排煙設備を設置しなければならない居室に設ける排煙設備の排煙口に、手動開放装置及び煙感知器と連動する自動開放装置を設けた。,建築物に設けるエスカレーターで、踏段面の水平投影面積が9m?であるものの踏段の積載荷重を、18kNとした。,4
R01,法規,11,,建築物の構造計算に関する次の記述のうち、建築基準法上、誤っているものはどれか。,保有水平耐力計算において、高さ20mの鉄骨造の建築物の屋外に面する帳壁については、構造計算によって風圧に対して構造耐力上安全であることを確かめなくてもよい。,許容応力度等計算において、地震力を計算する場合、学校のバルコニーの床の積載荷重については、1300N/m?に床面積を乗じて計算することができる。,許容応力度等計算において、地下部分に作用する地震力の計算に際して、地震時における建築物の振動の性状を適切に評価して計算することができる場合には、当該計算によることができる。,エキスパンションジョイントその他の相互に応力を伝えない構造方法のみで接している「高さが31mを超える建築物の部分」と「高さが10m以下の建築物の部分」については、それぞれの建築物の部分で必要とされる構造計算の方法を用いることができる。,1
R01,法規,12,,保有水平耐力計算によって安全性が確かめられた建築物に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、高さが4m又は延べ面積が30m?を超える建築物とする。,鉄筋コンクリート造の建築物に使用するコンクリートの四週圧縮強度は、1mm?につき12N(軽量骨材を使用する場合においては、9N)以上でなければならない。,鉄筋コンクリート造の建築物の構造耐力上主要な部分である柱の主筋は、帯筋と緊結しなければならない。,鉄骨造の建築物の構造耐力上主要な部分の材料は、炭素鋼若しくはステンレス鋼又は鋳鉄としなければならない。,鉄骨造の建築物において、高力ボルト、ポルト又はリベットの相互間の中心距離は、その径の2.5倍以上としなければならない。,2
R01,法規,13,図あり,図のような木造、地上3階建ての住宅(屋根を金属板で葺いたもの)の1階部分について、桁行方向に設けなければならない構造耐力上必要な軸組の最小限の長さとして、建築基準法上、正しいものは、次のうちどれか。ただし、地盤が著しく軟弱な区域として特定行政庁が指定する区域内にあるものとし、小屋裏等に物置等は設けず、地方の風の状況に応じた「風圧力」に対する軸組の割増はないものとする。また、構造耐力上必要な軸組等の規定の適用の除外はないものとする。なお、図は略図とする。,1610 cm,2150 cm,2415 cm,2600 cm,3
R01,法規,14,,都市計画区域内の道路等に関する次の記述のうち、建築基準法上、誤っているものはどれか。,地区計画の区域のうち、地区整備計画で建築物等の敷地として併せて利用すべき区域として定められている区域内の道路の上空においては、当該道路に係る地区計画の内容に適合し、かつ、所定の基準に適合するものであって特定行政庁が安全上、防火上及び衛生上支障がないと認める建築物については建築することができる。,建築基準法上の道路に該当しない幅員6mの農道のみに2m以上接する敷地における、延べ面積150m?の一戸建て住宅については、特定行政庁が交通上、安全上、防火上及び衛生上支障がないと認める場合には建築することができる。,都市再開発法による新設の事業計画のある幅員8mの道路で、2年以内にその事業が執行される予定のものとして特定行政庁が指定したものは、建築基準法上の道路である。,土地を建築物の敷地として利用するため袋路状道路を築造する場合、特定行政庁からその位置の指定を受けるためには、その幅員を6m以上とし、かつ、延長を35m以下としなければならない。,4
R01,法規,15,,建築物の用途の制限に関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、用途地域以外の地域、地区等の指定はなく、また、特定行政庁の許可等は考慮しないものとする。,第一種低層住居専用地域内において、「延べ面積180m?、地上2階建ての喫茶店兼用住宅(喫茶店の用途に供する部分の床面積60m?)」は、新築することができる。,田園住居地域内において、「延べ面積300m?、地上2階建ての、地域で生産された農産物を材料とする料理を提供する飲食店」は、新築することができる。,準工業地域内において、「延べ面積5000m?、平家建ての圧縮ガスの製造工場(内燃機関の燃料として自動車に充填するための圧縮天然ガスに係るもの)」は、新築することができる。,工業地域内において、「延べ面積10000m?、地上3階建ての展示場」は、新築することができる。,1
R01,法規,16,図あり,図のような敷地において、建築基準法上、新築することができる建築物の容積率(同法第52条に規定する容積率)の最高限度は、次のうちどれか。ただし、図に記載されているものを除き、地域、地区等及び特定行政庁の指定、許可等は考慮しないものとする。,Oct-37,Oct-40,41.5/10,Oct-45,2
R01,法規,17,図あり,図のような敷地において、建築物を新築する場合、建築基準法上、A点における地盤面からの建築物の高さの最高限度は、次のうちどれか。ただし、敷地は平坦で、敷地、隣地及び道路の相互間に高低差はなく、門、塀等はないものとする。また、図に記載されているものを除き、地域、地区等及び特定行政庁による指定、許可等並びに日影による中高層の建築物の高さの制限及び天空率に関する規定は考慮しないものとする。なお、建築物は、全ての部分において、高さの最高限度まで建築されるものとする。,25.5 m,28.5 m,33.0 m,36.0 m,4
R01,法規,18,,地区計画等又は建築協定に関する次の記述のうち、建築基準法上、誤っているものはどれか。,地区整備計画等が定められている地区計画等の区域内において、市町村の条例で定めることができる制限としては、建築物に附属する高さ2m以内の門又は塀の位置の制限は含まれない。,再開発等促進区で地区整備計画が定められている地区計画の区域内においては、特定行政庁が交通上、安全上、防火上及び衛生上支障がないと認めて許可した建築物については、道路高さ制限、隣地高さ制限及び北側高さ制限は適用されない。,建築協定は、都市計画区域及び準都市計画区域外においては定めることができない。,建築協定書の作成に当たって、建築協定区域内の土地に借地権の目的となっている土地がある場合においては、借地権を有する者の全員の合意がなければならない。,3
R01,法規,19,,次の記述のうち、建築基準法上、誤っているものはどれか。,建築基準法令の規定による指定確認検査機関の処分についての審査請求は、当該処分に係る建築物について建築確認をする権限を有する建築主事が置かれた市町村又は都道府県の建築審査会に対してすることができる。,エレベーターの昇降路の部分又は共同住宅若しくは老人ホーム等の共用の廊下若しくは階段の用に供する部分の床面積が、当該建築物の床面積の合計の1/3を超える場合においては、当該床面積の1/3を限度として、建築物の容積率の算定の基礎となる延べ面積に算入しないものとする。,地盤が軟弱な区域として特定行政庁が規則で指定した区域外において、平家建ての木造の住宅で足固めを使用した場合は、構造耐力上主要な部分である柱で最下階の部分に使用するものの下部に土台を設けなくてもよい。,都市計画区域内においては、火葬場は、都市計画においてその敷地の位置が決定していない場合であっても、特定行政庁が都市計画審議会の議を経てその敷地の位置が都市計画上支障がないと認めて許可した場合においては、新築することができる。,2
R01,法規,20,,ホテルに関する次の記述のうち、建築基準法上、誤っているものはどれか。ただし、用途地域以外の地域、地区等の指定はなく、また、特段の記述がない限り、特定行政庁の許可等は考慮しないものとする。,耐火建築物のホテルで、ホテルの用途に供する3階以上の部分の床面積の合計が350m?である場合、当該用途に供する居室から地上に通ずる主たる廊下、階段その他の通路の壁及び天井の室内に面する部分の仕上げを準不燃材料ですることができる。,高さが31mを超えるホテルで、非常用の昇降機を設けていないことにより建築基準法第3条第2項の規定の適用を受けているものについて増築する場合において、増築に係る部分の床面積の合計が基準時における延べ面積の1/2を超えるときは、非常用の昇降機を設けなければならない。,敷地が第二種中高層住居専用地域内に700m?、近隣商業地域内に600m?と二つの用途地域にわたる場合、当該敷地には、ホテルを新築することができる。,文化財保護法の規定によって重要文化財として指定された建築物であったものの原形を再現する建築物で、特定行政庁が建築審査会の同意を得てその原形の再現がやむを得ないと認めたものについては、建築基準法並びにこれに基づく命令及び条例の規定は、適用されない。,3
R01,法規,21,,次の記述のうち、建築士法上、誤っているものはどれか。ただし、中央指定登録機関の指定は考慮しないものとする。,建築に関する業務に従事する一級建築士にあっては、勤務先が変わり業務の種別に変更があったときは、その日から30日以内に、その旨を住所地の都道府県知事を経由して国土交通大臣に届け出なければならない。,「設計図書」とは、建築物の建築工事の実施のために必要な図面(現寸図その他これに類するものを除く。)をいい、仕様書を含まない。,延べ面積450m?、高さ10m、軒の高さ7mの木造2階建ての既存建築物について、床面積250m?の部分で大規模の修繕を行う場合においては、当該大規模の修繕に係る設計は、一級建築士、二級建築士又は木造建築士でなければしてはならない。,延べ面積400m?の建築物の新築における設計の契約の当事者は、契約の受託者が設計の一部を再委託する場合にあっては、当該再委託に係る設計の概要並びに当該再委託に係る受託者の氏名又は名称及び当該受託者に係る建築士事務所の名称及び所在地を、契約の締結に際して相互に交付する書面に記載しなければならない。,2
R01,法規,22,,次の記述のうち、建築士法上、誤っているものはどれか。ただし、指定事務所登録機関の指定は考慮しないものとする。,一級建築士を使用する者は、他人の求めに応じ報酬を得て、建築物に関する調査若しくは鑑定又は建築物の建築に関する法令の規定に基づく手続の代理を業として行おうとするときは、一級建築士事務所を定めて、その建築士事務所について、都道府県知事の登録を受けなければならない。,都道府県知事の登録を受けている建築士事務所に属する建築士は、当該登録を受けた都道府県以外の区域においても、業として他人の求めに応じ報酬を得て、設計等を行うことができる。,建築士事務所の開設者と管理建築士とが異なる場合においては、その開設者は、管理建築士から、建築士事務所の業務に係る所定の技術的事項に関し、必要な意見が述べられた場合には、その意見を尊重しなければならない。,建築士事務所の開設者は、延べ面積が400m?の建築物の新築工事に係る設計及び工事監理の業務を受託した場合、委託者の許諾を得た場合には、受託業務の一部である工事監理の業務について、一括して他の建築士事務所の開設者に再委託することができる。,4
R01,法規,23,,建築士の講習に関する次の記述のうち、建築士法上、誤っているものはどれか。ただし、中央指定登録機関の指定は考慮しないものとする。,二級建築士として3年以上の設計等の業務に従事した後に管理建築士講習の課程を修了した者が、新たに一級建築士の免許を受けて一級建築士事務所の管理建築士になる場合には、改めて管理建築士講習を受けなければならない。,建築士事務所に属する一級建築士は、建築物の設計又は工事監理の業務に従事しない場合であっても、所定の一級建築士定期講習を受けなければならない。,国土交通大臣に対し、構造設計一級建築士証の交付を申請することができるのは、原則として、一級建築士として5年以上の構造設計の業務に従事した後、登録講習機関が行う所定の講習の課程をその申請前1年以内に修了した者である。,建築士事務所の開設者は、事業年度ごとに作成する設計等の業務に関する報告書において、当該建築士事務所に属する一級建築士が構造設計一級建築士である場合にあっては、その者が受けた構造設計一級建築士定期講習のうち、直近のものを受けた年月日についても記載しなければならない。,1
R01,法規,24,,次の記述のうち、都市計画法上、誤っているものはどれか。,都市計画施設の区域内において、地階を有しない木造、平家建ての飲食店を新築する場合は、原則として、都道府県知事等の許可を受けなければならない。,都市計画区域内において、延べ面積1500m?の仮設興行場の建築の用に供する目的で行う開発行為は、原則として、都道府県知事の許可を受けなければならない。,市街化区域内において、病院の建築の用に供する目的で行う開発行為で、その規模が5000m?のものについては、原則として、都道府県知事の許可を受けなければならない。,地区整備計画が定められている地区計画の区域内で、当該地区計画に建築物等の形態又は色彩その他の意匠の制限が定められている場合において、建築物等の形態又は色彩その他の意匠の変更をしようとするときは、原則として、当該行為に着手する日の30日前までに、所定の事項を市町村長に届け出なければならない。,2
R01,法規,25,,次の記述のうち、消防法上、誤っているものはどれか。ただし、建築物は、いずれも無窓階を有しないものとし、指定可燃物の貯蔵又は取扱いは行わないものとする。,延べ面積が350m?のキャバレーについては、原則として、自動火災報知設備を設置しなければならない。,消防用設備等の技術上の基準に関する規定の施行又は適用の際、現に存する百貨店における消防用設備等が当該規定に適合しないときは、当該消防用設備等については、当該規定に適合させなければならない。,準耐火建築物で、壁及び天井の室内に面する部分の仕上げを難燃材料でした延べ面積1000m?、地上2階建ての専修学校については、原則として、屋内消火栓設備を設置しなければならない。,延べ面積1500m?、地上2階建ての特別養護老人ホームで、火災発生時の延焼を抑制する機能として所定の構造を有しないものについては、原則として、スプリンクラー設備を設置しなければならない。,3
R01,法規,26,,次の記述のうち、「高齢者、障害者等の移動等の円滑化の促進に関する法律」上、誤っているものはどれか。,床面積の合計が90m?の公衆便所及び床面積の合計が2000m?の公共用歩廊を新築しようとするときは、いずれも建築物移動等円滑化基準に適合させなければならない。,床面積の合計が2000m?の図書館を新築しようとする場合において、当該図書館に設ける階段のうち、不特定かつ多数の者が利用し、又は主として高齢者、障害者等が利用するものは、踏面の端部とその周囲の部分との色の明度、色相又は彩度の差が大きいことにより段を容易に識別できるものとしなければならない。,移動等円滑化経路を構成する敷地内の通路は、幅を120cm以上とし、50m以内ごとに車椅子の転回に支障がない場所を設けなければならない。,既存の特別特定建築物に、床面積の合計2000m?の増築をする場合において、道等から当該増築部分にある利用居室までの経路が1であり、当該経路を構成する出入口、廊下等の一部が既存建築物の部分にある場合には、建築物移動等円滑化基準における移動等円滑化経路の規定は、当該増築に係る部分に限り適用される。,4
R01,法規,27,,次の記述のうち、関係法令上、誤っているものはどれか。,「住宅の品質確保の促進等に関する法律」に基づき、住宅新築請負契約又は新築住宅の売買契約における瑕疵担保責任の特例において、「住宅の構造耐力上主要な部分等」には、「雨水を排除するため住宅に設ける排水管のうち、当該住宅の屋根若しくは外壁の内部又は屋内にある部分」は含まれない。,「建築物の耐震改修の促進に関する法律」に基づき、要安全確認計画記載建築物の所有者は、当該建築物について耐震診断の結果、地震に対する安全性の向上を図る必要があると認められるときは、耐震改修を行うよう努めなければならない。,「建設工事に係る資材の再資源化等に関する法律」に基づき、特定建設資材を用いた建築物に係る解体工事で、当該建築物(当該解体工事に係る部分に限る。)の床面積の合計が100m?であるものの発注者は、工事に着手する日の7日前までに、所定の事項を都道府県知事に届け出なければならない。,「労働安全衛生法」に基づき、事業者は、建設業の仕事において、耐火建築物又は準耐火建築物で、石綿等が吹き付けられているものにおける石綿等の除去の作業を行う仕事を開始しようとするときは、その計画を当該仕事の開始の日の14日前までに、労働基準監督署長に届け出なければならない。,1
R01,法規,28,,次の記述のうち、建築基準法又は建築士法上、誤っているものはどれか。,建築基準法の構造耐力の規定に違反する建築物の設計を建築主が故意に指示し、建築士がそれに従って設計及び工事監理をした場合、当該建築主及び建築士のいずれも罰則の適用の対象となる。,建築士事務所の開設者である一級建築士が、当該建築士事務所の登録期間が満了したにもかかわらず、更新の登録を受けずに他人の求めに応じ報酬を得て工事監理業務を業として行った場合には、当該建築士は、業務停止等の懲戒処分の対象となる。,建築士事務所に属する建築士の氏名及びその者の一級建築士、二級建築士又は木造建築士の別に変更があった場合に、3月以内に、その旨を都道府県知事に届け出ないときは、当該建築士事務所の開設者及び管理建築士のいずれも罰則の適用の対象となる。,建築士事務所の開設者が、自己の名義をもって、他人に建築士事務所の業務を営ませたときは、当該建築士事務所の開設者は罰則の適用の対象となる。,3
R01,法規,29,,次の法律とその法律で用いられている防災に関連する用語との組合せのうち、誤っているものはどれか。,建築物の耐震改修の促進に関する法律 - 要緊急安全確認大規模建築物,建築基準法 - 災害危険区域,宅地造成等規制法 - 土砂災害特別警戒区域,密集市街地における防災街区の整備の促進に関する法律 - 特定防災街区整備地区,3
R01,法規,30,,次の記述のうち、関係法令上、誤っているものはどれか。,「建築物のエネルギー消費性能の向上に関する法律」に基づき、特定建築物以外の建築物の新築において、建築主が所定の事項に関する計画を所管行政庁に届け出なければならないのは、床面積の合計が2000m?以上の場合である。,「長期優良住宅の普及の促進に関する法律」に基づき、長期優良住宅建築等計画の認定を申請する者は、所管行政庁に対し、当該計画を建築主事に通知し、当該計画が建築基準法に規定する建築基準関係規定に適合するかどうかの審査を受けるよう申し出ることができる。,「景観法」に基づき、景観計画区域内において、建築物の建築等をしようとする者は、原則として、あらかじめ、所定の事項を景観行政団体の長に届け出なければならず、景観行政団体がその届出を受理した日から30日を経過した後でなければ、当該届出に係る行為に着手してはならない。,「都市の低炭素化の促進に関する法律」に基づき、低炭素建築物新築等計画の認定を受けた者は、当該認定を受けた低炭素建築物新築等計画の変更をしようとするときは、原則として、所定の申請書等を提出して所管行政庁の認定を受けなければならない。,1
R01,構造,1,図あり,等質で、図-1のような断面形状の部材に、図-2のように断面力として曲げモーメントMのみが作用している。この断面の降伏開始曲げモーメントをMy、全塑性モーメントをMpとするとき、M≦Myの場合とM=Mpの場合の中立軸の位置の組合せとして、正しいものは、次のうちどれか。ただし、中立軸の位置は断面下縁から測るものとする。,M≦Myの場合:200mm - M=Mpの場合:250mm,M≦Myの場合:250mm - M=Mpの場合:200mm,M≦Myの場合:250mm - M=Mpの場合:300mm,M≦Myの場合:300mm - M=Mpの場合:250mm,3
R01,構造,2,図あり,図のような材料とスパンが同じで、断面が異なる単純梁A、B及びCの中央に集中荷重Pが作用したとき、それぞれの梁の曲げによる中央たわみδA、δB及びδCの比として、正しいものは、次のうちどれか。ただし、梁は弾性部材とし、自重は無視する。また、梁B及びCを構成する部材の接触面の摩擦はないものとする。,δA:δB:δC = 1:1:1,δA:δB:δC = 1:1:4,δA:δB:δC = 1:2:4,δA:δB:δC = 1:4:8,2
R01,構造,3,図あり,図のようなラーメンに荷重10Pが作用したときの曲げモーメント図として、正しいものは、次のうちどれか。ただし、梁部材の曲げ剛性は2EI、柱部材の曲げ剛性は3EIとし、図のA点は自由端、B点は剛接合とする。また、曲げモーメントは材の引張側に描くものとする。,図1,図2,図3,図4,1
R01,構造,4,図あり,図のような水平力が作用する2層構造物(1層の水平剛性2K、2層の水平剛性K)において、1層の層間変位δ1と2層の層間変位δ2との比として、正しいものは、次のうちどれか。ただし、梁は剛とし、柱の軸方向の伸縮はないものとする。,δ1:δ2 = 1:2,δ1:δ2 = 1:4,δ1:δ2 = 2:3,δ1:δ2 = 3:4,4
R01,構造,5,図あり,図のような荷重が作用するトラスにおいて、部材ABに生じる軸方向力として、正しいものは、次のうちどれか。ただし、軸方向力は、引張力を「+」、圧縮力を「-」とする。,-12/(7√3)P,-2/(7√3)P,+2/(7√3)P,+12/(7√3)P,2
R01,構造,6,図あり,次の架構のうち、静定構造はどれか。,図1,図2,図3,図4,3
R01,構造,7,,建築基準法における建築物の構造計算に用いる風圧力に関する次の記述のうち、最も不適当なものはどれか。,風圧力の計算に用いる速度圧qは、その地方について定められている基準風速Vの2乗に比例する。,基準風速Vは、稀に発生する暴風時の地上10mにおける10分間平均風速に相当する値である。,ガスト影響係数Gfは、「平坦で障害物がない区域」より「都市化が著しい区域」のほうが大きい。,風圧力は、一般に、「外装材に用いる場合」より「構造骨組に用いる場合」のほうが大きい。,4
R01,構造,8,,建築基準法における荷重及び外力に関する次の記述のうち、最も不適当なものはどれか。,多雪区域以外の区域において、積雪荷重の計算に用いる積雪の単位荷重は、積雪量1cm当たり20N/m?以上とする。,店舗の売場に連絡する廊下の床の構造計算に用いる積載荷重は、建築物の実況に応じて計算しない場合、店舗の売場の床の積載荷重を用いることができる。,建築物の地下部分の各部分に作用する地震力は、一般に、当該部分の固定荷重と積載荷重との和に水平震度を乗じて計算する。,建築物の固有周期が長い場合や地震地域係数が小さい場合には、地震層せん断力係数Ciは、標準せん断力係数Coより小さくなる場合がある。,2
R01,構造,9,,木造軸組工法による地上2階建ての建築物の壁量の計算に関する次の記述のうち、最も不適当なものはどれか。,平面が長方形の建築物において、必要壁量が地震力により決定される場合、張り間方向と桁行方向の必要壁量は異なる値となる。,風圧力に対する2階の必要壁量は、2階床面からの高さ1.35mを超える部分の見付面積に所定の数値を乗じて得た数値となる。,壁倍率2の耐力壁の長さの合計が9mの場合の存在壁量と、壁倍率3の耐力壁の長さの合計が6mの場合の存在壁量は同じ値となる。,壁倍率1.5の筋かいを入れた軸組の片面に、壁倍率2.5の構造用合板を所定の方法で打ち付けた耐力壁の壁倍率は4となる。,1
R01,構造,10,,木造軸組工法による地上2階建ての建築物に関する次の記述のうち、最も不適当なものはどれか。,構造耐力上主要な柱について、やむを得ず柱の所要断面積の1/3を切り欠きしたので、切り欠きした部分が負担していた力を伝達できるように金物で補強した。,圧縮力と引張力の両方を負担する筋かいとして、厚さ1.5cm、幅9cmの木材を使用した。,国土交通大臣が定める基準に従った構造計算によって構造耐力上安全であることを確かめたので、小屋組の振れ止めを省略した。,構造耐力上主要な柱の小径を、横架材の相互間の垂直距離に対する割合によらず、国土交通大臣が定める基準に従った構造計算によって決定した。,2
R01,構造,11,,鉄筋コンクリート構造の設計に関する次の記述のうち、最も不適当なものはどれか。,耐力壁は、一般に、付着割裂破壊が発生しにくいことから、付着割裂破壊の検討を省略した。,柱の付着割裂破壊を防止するために、柱の引張鉄筋比を大きくした。,柱のせん断圧縮破壊を防止するために、コンクリートの設計基準強度を高くすることにより、コンクリートの圧縮強度に対する柱の軸方向応力度の比を小さくした。,柱梁接合部内に、帯筋比が0.3%以上となるように帯筋を配筋した。,2
R01,構造,12,,鉄筋コンクリート構造の梁に関する次の記述のうち、最も不適当なものはどれか。,最小あばら筋比は、曲げひび割れの発生に伴う急激な剛性の低下を防ぐために規定されている。,あばら筋の長期許容応力度は、SD295AからSD345に変更しても、大きくはならない。,主筋のコンクリートに対する許容付着応力度は、下端筋より上端筋のほうが小さい。,圧縮側の主筋は、長期荷重によるクリープたわみを抑制する効果がある。,1
R01,構造,13,図あり,鉄筋コンクリート構造の配筋に関する次の記述のうち、最も不適当なものはどれか。ただし、図に記載のない鉄筋は適切に配筋されているものとする。,断面内に打継ぎ部を有する基礎梁において、必要な定着長さが確保されていたので、図-1に示すように、基礎梁の側面にあばら筋の重ね継手を設けた。,片側に床スラブが取り付いた梁のあばら筋において、必要な余長が確保されていたので、図-2に示すように、あばら筋の末端の一端を90度フックとした。,梁下端主筋において、必要な重ね継手長さを確保したうえで、応力集中を避けるために、図-3に示すように、継手位置をずらして配筋した。,長方形孔を有する梁において、あばら筋に加え、図4に示すように、軸方向補強筋を長方形孔の上下に配筋した。,3
R01,構造,14,,鉄筋コンクリート構造の柱梁接合部に関する次の記述のうち、最も不適当なものはどれか。,外柱の柱梁接合部においては、一般に、靱性を確保するために、梁の下端筋は上向きに折り曲げて定着させる。,柱梁接合部の設計用せん断力は、取り付く梁が曲げ降伏する場合、曲げ降伏する梁の引張鉄筋量を増やすと大きくなる。,柱梁接合部の許容せん断力は、柱梁接合部の帯筋量を増やすと大きくなる。,柱梁接合部の許容せん断力は、コンクリートの設計基準強度を高くすると大きくなる。,3
R01,構造,15,,鉄骨構造の設計に関する次の記述のうち、最も不適当なものはどれか。,床面の水平せん断力を伝達するために、小梁と水平プレースによりトラス構造を形成する場合、小梁は軸方向力も受ける部材として検討する必要がある。,角形鋼管を用いて柱を設計する場合、横座屈を生じるおそれがないので、許容曲げ応力度を許容引張応力度と同じ値とすることができる。,H形鋼を用いた梁に均等間隔で横補剛材を設置して保有耐力横補剛とする場合において、梁を建築構造用圧延鋼材SN400Bから同一断面の建築構造用圧延鋼材SN490Bに変更することにより、横補剛の数を減らすことができる。,圧縮材の中間支点の横補剛材は、許容応力度設計による場合、圧縮材に作用する圧縮力の2%以上の集中力が加わるものとして設計する。,3
R01,構造,16,,鉄骨構造の設計に関する次の記述のうち、最も不適当なものはどれか。,柱の許容圧縮応力度の算定に用いる限界細長比は、基準強度F値が大きいほど大きくなる。,骨組の塑性変形能力を確保するために定められている柱及び梁の幅厚比の上限値は、基準強度F値が大きいほど小さくなる。,骨組の塑性変形能力を確保するために定められているH形鋼(炭素鋼)の梁の幅厚比の上限値は、フランジよりウェブのほうが大きい。,大地震時に、筋かい(炭素鋼)に必要な塑性変形能力を発揮させるために、筋かい端部及び接合部の破断耐力は、筋かい軸部の降伏耐力の1.2倍以上とする。,1
